descricao;classe
gostaria de pedir o estorno;1
cancelar devido a erro de digitação;4
não recebi a recarga;2
há alguma forma de estornar o valor devido a erro de digitação?;3
errei o número, pode estornar o valor;1
não recebi meus créditos;2
Cancela isso;4
quero ser ressarcido;1
gostaria de estornar a compra;1
gostaria de saber;3
efetuar devolução de valor;1
quero o estorno do valor;1
quero meu dinheiro de volta;1
estornar a compra;1
a recarga não caiu;2
recarga não caiu na linha;2
meus creditos não entraram;2
efetuar estorno de recarga;1
não consigo fazer recarga;3
o que está acontecendo ?;3
Olá, eu realizei uma recarga achando que era o aplicativo recarga de ônibus (muito parecido + indicação errada do cobrador).Me fez sentido já que o cadastro da sptrans tem o telefone e podia ser a chave de identificação para recarga. Percebi o erro quando recebi uma mensagem da vivo falando que eu tinha o crédito de 20 reais.Pra mim nem faz sentido pq meu plano não é pré pago. Não consumi os créditos, gostaria de estornar a compra como diz no código do consumidor que posso (7 dias para serviços online e telefônicos). Abaixo um copia e cola do recibo que recebi:;1
cancelar essa recarga;4
não foi realizada. Mas a cobrança está na fatura;2
porque não consigo;3
por que não consigo;3
Porque nao estou conseguindo carregar;3
cancela;4
cancela isso;4
Coloquei 100 reais de crédito em um número porque o aplicativo disse que a regarga não tinha sido efetuada quero cancelar 4 recarga dessas;1
número errado. cancela;4
Como Fasso pra cancela essa recarga;4
não caiu crédito nenhum no celular;2
cobrado no cartão mas recebi a recarga;2
tentei x vezes . deu erro. cobrado xx vezes;1
quero cancelar essa recarga.numero errado;4
limite foi atingido;3
Dia 02/09/2019 Fiz uma recarga no meu cartão de crédito só que foram cobrado duas vezes ...qual seria o procedimento para o reembolso...Foi para o número 85987883863;1
recarga não caiu em linha linha;2
fica aparecendo limite mensal;3
gostaria do estorno do valor cobrado;1
fica aparecendo limite diário;3
estornar valor da cobrança;1
Tava tentado coloca 20 reais de credito no meu telefine o App tava mostrado que não Tava conseguido fazer a recarga. Eu fiquei tentado quando fui vê entrou tudo deu 100 reais de recarga. O que vocês pode fazer pra devolver os 80 reais. porque o erro foi do aplicativo que tava mostrado que tava tanto…;1
estornar valor da recarga;1
Bom dia!Ontem realizei duas recargas que foram cobradas no cartão e uma não foi repassada. Quero que efetue o estorno da cobrança que não foi repassada.Essa primeira para o número 17 981153996;1
Não consigo mais fazer recarga, fica dizendo que ultrapassei o limite de recarga;3
recarga não entrou;2
Quero devolução do valor da recarga;1
não recebi a recarga;2
Como posso reaver valores?;1
Oi.Fiz recarga pela última fez no dia 31/10 mas fica dizendo que já ultrapassei o o limite de recarga no mês , sendo que não fiz nenhuma recarga esse mês.;3
Quero reaver o valor;1
Olha eu fiz três tentativas de recarga todas no valor de 15,00 mas as duas primeiras falharam só conseguina terceira e descontou no meu cartão de crédito preciso que vocês cancelem as duas primeiras tentativas;1
Gostaria de saber como faço para extornar o valor.;1
Fiz uma recarga agora e descontou do meu cartão, mais no aplicativo não constou o pagamento;2
No dia 01/09 foi realizar uma recarga para o número 11963018737, porém não foi concluído devido erro no aplicativo, ai consultar o extrato do cartão consta 3 cobranças de 13,00. Segue anexo o extrato da fatura do cartão e última recarga que realizei pelo aplicativo que foi no dia 26/08.;1
Boa tarde. Tem duas cobranças na fatura de recargas esse mês que não foram efetuadas. No próprio aplicativo consta que não foi realizada. Mas a cobrança está na fatura.;1
o valor foi debitado em minha conta, mas os créditos ainda não cairam.;2
Tentei realizar duas recargas esse mês de setembro. Mas o aplicativo informou que não foi possível. E não caiu crédito nenhum no celular. Porém os valores estão constando na fatura do cartão.;2
Favor verificar pois fiz atraves do aplicativo recarga certa , uma recarga no dia 01/09/2019 ás 13:07 hrs  uma recarga de 20 reias para o numero em anexo da oi uma unica vez conforme email e conforme historico de recargas do aplicativo  o mesmo foi cobrado 3 vezes no meu cartão solicito o estorno da cobranças indevidas do meu cartão para não precisar de acionar na justiça essa situação .;1
Boa noite,não estou conseguindo fazer recargas,e começo mês deu erro,como se não tivesse feito recarga,no outro dia fiz de novo e deu,mas cobrou duas recargas,a com erro tbm. Agora não consigo fazer recarga. Quero saber pq?;3
Recarga Certa coloquei 13 reias de crédito chegou o valor no meu cartão e não chegou os credito no celular !O q faço?;2
Boa tarde foi feito um crédito  de 10 reais  no meu número  é não  entro os crédito  até agora  é no cartão  está mostrando  que foi compensado;2
recarga não caiu;2
Bom dia , fiz uma recargano valor de 20 reais ontem as 17:47 , so que a recarga nao foi realizada , porem foi debitado no meu cartao o valor da recarga mesmo sem ter recebido os creditos , gostaria de saber uma forma para que possa ser estornado esse valor ja que nao recebi o valor da recarda . Obrigado;2
Coloquei crédito ontem no celular  da minha filha e até agora nada de crédito  mas vcs já debitaram do meu cartão Então cadê meus créditos;2
fui fazer uma recarga de 15 reais,mais não hora deu recarga não realizada,mais veio cobrando no meu cartão de credito,quero saber o que vcs vão fazer,esse aplicativo só tá dando prejuízo,ao invés de benefíciar,espero que tenha melhorias,dei essa estrela aí por que não dava pra postar se avaliar,mais pelo que o App da trazendo,não merece nem uma estrela.;2
Não recebi a recarga no valor de 20 reais;2
Estou com um problema! Recarreguei o celular ontem e no histórico do app consta duas transações: uma realizada e outra não (sendo que efetuei apenas uma) e as duas constam a mesma hora. O problema é que no meu cartão consta a compra, mas a recarga NÃO foi efetuada. Preciso que isso seja visto!;2
Por que só colocar pouco crédito no chip?;3
Fiz uma recarga de 20 reais pelo cartão de crédito, me cobraram no cartão e a recarga não entrou, mandei email pra vocês, e até agora nada foi resolvido.;2
Meu nome é Amanda eu fiz uma recarga no App de vocês,  não aprovou a recarga mas descontou o valor da minha conta! Quero meu dinheiro de volta por favor!;1
Não estou conseguindo realizar recarga.;3
Olá boa noite então fis uma recarga agora mais não caiu os credilto.;2
Recarreguei um número de celular dia 6 de julho tudo aprovado recebi email de confirmação no entanto até agora a recarga não está disponível!!;2
Fiz uma recarga no meu celular. Quando quis fazer no do meu filho ficou só aparecendo uma mensagem dizendo que o número de recarga estava excedido pra tentar mais tarde... já faz dois dias do mesmo jeito.;3
Eu coloquei crédito no celular da minha esposa nesse dia e não veio os créditos esse e o recibo daí tive que colocar de novo para vir espero que resolvam esse erro ;2
Cancela essa recarga foi o número errado;4
Oi gostaria de saber porque está caindo crédito no meu celular sem eu ter feito a recarga de nada gostaria que cancelar senão irei denunciar esse perfil;4
Oi .Realizei recarga para o numero errado. Gostaria de cancelar a recarga.;4
Fiz recarga para o numero errado.Cancela;4
Quero cancelar essa recarga;4
Cancela essa recarga.Recarregeui o número errado;4
Não estou conceguindo fazer recarga com nenhum cartão esse app deixa a desejar;3
Gostaria de cancelar;4
A recarga não caiu em minha linha mas o valor foi cobrado em minha conta.Quero o estorno da recarga.;1
o valor foi debitado em minha conta, mas os créditos ainda não cairam.;2
